,Mean NC18O (cm-2),Standard deviation NC18O (cm-2),Median NC18O (cm-2),Min NC18O (cm-2),Max NC18O (cm-2),Sum NC18O (cm-2 Npx),u Sum NC18O (cm-2 Npx),M (M_sun),u M (M_sun),M_acc (M_sun/yr) (M_star=0.39Msun),u M_acc (M_sun/yr)
No kink,2024081571862237.8,884044035925679.9,1992351264532874.5,300540469932626.6,3843605166649610.0,1.2711232271294853e+18,7.433566549701595e+16,0.007337694618430387,0.0004323432596469352,3.584453140804316e-07,2.1119905304515567e-08
Kink,1928214701601217.0,833061622853597.1,1931092110899324.0,300540469932626.6,3843605166649610.0,1.529074258369765e+18,8.655106383127992e+16,0.009050580498500443,0.0005134237567820152,4.4211954000467474e-07,2.5080675787983597e-08
