,Mean NC18O (cm-2),Standard deviation NC18O (cm-2),Median NC18O (cm-2),Min NC18O (cm-2),Max NC18O (cm-2),Sum NC18O (cm-2 Npx),Sum NH2 (cm-2 Npx),M (kg),M (M_sun)
10.0,2359380004801420.5,1045377818724001.1,2355945783705819.5,355387659583586.5,4580620973219448.0,1.8544726837739164e+18,1.0941388834266107e+25,2.2164948157692558e+28,0.011147072082231885
11.0,2218371984860753.5,982900957850302.2,2215143009514351.0,334147965220131.4,4306860793757925.5,1.7436403801005522e+18,1.0287478242593257e+25,2.0840263094055758e+28,0.01048086885966804
12.0,2124204514072350.2,941177884412701.2,2121112605206990.5,319963748610559.44,4124039251314322.5,1.6696247480608673e+18,9.850786013559116e+24,1.9955616659857606e+28,0.010035967409904272
13.0,2061354841848426.8,913330885148802.4,2058354414503536.0,310496855667582.44,4002019684240344.0,1.6202249056928635e+18,9.559326943587896e+24,1.93651820017117e+28,0.009739029305317903
14.0,2020385178768052.5,895178329419050.8,2017444385259569.5,304325695173540.75,3922479085612828.0,1.5880227505116892e+18,9.369334228018968e+24,1.8980296796120978e+28,0.009545464984770848
15.0,1995255480236745.0,884044035925679.9,1992351264532874.5,300540469932626.6,3873691004036763.0,1.5682708074660815e+18,9.252797764049883e+24,1.8744218477227304e+28,0.009426737793575205
