,Mean NC18O (cm-2),Standard deviation NC18O (cm-2),Median NC18O (cm-2),Min NC18O (cm-2),Max NC18O (cm-2),M (M_sun),u M (M_sun),dotM_in (M_sun/yr) (M_star=0.39Msun),u dotM_in (M_sun/yr),Sum NC18O (cm-2 Npx),u Sum NC18O (cm-2 Npx)
No kink,1995255480236742.8,884044035925679.9,1992351264532874.5,300540469932626.6,3873691004036763.0,0.009426737793575222,5.0700891694847706e-05,4.5138375075374096e-07,1.918099797283024e-08,1.5682708074660797e+18,8434808530658516.0
Kink,1901429341058816.5,833061622853597.1,1931092110899324.0,300540469932626.6,3873691004036763.0,0.011543617660481911,5.5859987031548835e-05,5.527470426096636e-07,2.3452436018161906e-08,1.9204436344694047e+18,9293096815180138.0
