,Offset_au,Vel_red_nonconv,Vel_red,Vel_blue_nonconv,Vel_blue
0,-998.3277591973244,8.800891578602872,8.80103379645232,6.041760332019901,6.040988420249205
1,-988.2943143812709,8.808473910179208,8.808612037009961,6.03347089709588,6.032733382517193
2,-978.2608695652174,8.816081068736112,8.816214961040977,6.025120896055596,6.02434218624072
3,-968.2274247491639,8.82371229621573,8.823841808563303,6.016611232120142,6.015811116420448
4,-958.1939799331103,8.831366808465788,8.83149179355756,6.007936654493761,6.007136303223153
5,-948.1605351170568,8.83904379490263,8.839164103634879,5.999199758606386,5.998313710234989
6,-938.1270903010034,8.846742418185285,8.846857899715861,5.990179246285491,5.989339163914647
7,-928.0936454849498,8.85446181390144,8.854572315721587,5.981129316802034,5.980208330904237
8,-918.0602006688963,8.86220109026623,8.86230645827756,5.9718184183391045,5.970916721723398
9,-908.0267558528428,8.869959327834767,8.870059406431501,5.962396298224083,5.961459632913507
10,-897.9933110367892,8.877735579229352,8.877830219057671,5.952821895417869,5.951832120590873
11,-887.9598662207358,8.885528868882348,8.885617942405693,5.943001635912099,5.942029008219676
12,-877.9264214046823,8.893338192795696,8.89342164018444,5.933147685073738,5.9320448914693
13,-867.8929765886287,8.90116251831806,8.901240450039602,5.92290833704717,5.921874204530149
14,-857.8595317725752,8.909000783940657,8.909073722287422,5.912624175966448,5.911511198193771
15,-847.8260869565217,8.916851899112782,8.916921247520847,5.902076792502961,5.900949924269786
16,-837.7926421404682,8.924714744078079,8.924783655237478,5.8913305303502845,5.8901841762000595
17,-827.7591973244147,8.932588169732645,8.932662957792894,5.880464596272123,5.879207431251947
18,-817.7257525083612,8.940470997505997,8.940563222917184,5.869220989388062,5.868012855535944
19,-807.6923076923076,8.948362019266032,8.948491222161612,5.857934045943457,5.856593266179624
20,-797.6588628762541,8.956259997249012,8.956456854291723,5.846246360248201,5.844941138803472
21,-787.6254180602007,8.964163664015713,8.964473143322104,5.834417955124364,5.833048555285549
22,-777.5919732441471,8.972071722434803,8.972555664696966,5.822353767474594,5.820907167226853
23,-767.5585284280936,8.980106982595423,8.980721497440898,5.809939733602472,5.808508204883696
24,-757.5250836120401,8.98826240294185,8.98898788689979,5.797474728351092,5.7958424681476695
25,-747.4916387959865,8.996604845833964,8.99737100436106,5.784437463377104,5.78290038159335
26,-737.4581939799331,9.005020560423148,9.005885061673125,5.771331113528559,5.76967196031495
27,-727.4247491638796,9.013690273984947,9.014541953462736,5.757844298943137,5.756146758163135
28,-717.391304347826,9.02242349137647,9.023351397396619,5.744040384713635,5.7423137994166105
29,-707.3578595317725,9.031399083761956,9.03232139110349,5.730088127803255,5.728161482888586
30,-697.3244147157191,9.040489036378919,9.041458827965435,5.715523421949174,5.713677585169916
31,-687.2909698996655,9.04977019626869,9.050770035433867,5.700889665943827,5.698849207994896
32,-677.257525083612,9.059241864616894,9.060261205782997,5.685694393069952,5.683662743487638
33,-667.2240802675585,9.068845986741902,9.069938632639687,5.670218658787355,5.668103828069352
34,-657.1906354515049,9.078726815898674,9.079808817286985,5.654460279709351,5.652157229324543
35,-647.1571906354515,9.088688554513507,9.089878497138816,5.638059881481426,5.635806841625193
36,-637.123745819398,9.098992895585774,9.100154638743774,5.621575038465245,5.619035607756779
37,-627.0903010033444,9.109404698506042,9.110644495471309,5.604301157333768,5.60182546045141
