,Mean NC18O (cm-2),Standard deviation NC18O (cm-2),Median NC18O (cm-2),Min NC18O (cm-2),Max NC18O (cm-2),Sum NC18O (cm-2 Npx),Sum NH2 (cm-2 Npx),M (kg),M (M_sun)
10.0,739550585009728.8,430831835386278.25,713909048778761.8,5341683759608.88,2128329082874763.5,4.733123744062264e+17,2.7925430089967354e+24,5.65710367852868e+27,0.002845039024344964
11.0,695351446496235.8,405083230281720.0,671242373134669.8,5022438767891.209,2001129789353767.0,4.4502492575759085e+17,2.625647061969786e+24,5.319007658945124e+27,0.002675005660215232
12.0,665834536134731.0,387887889051867.44,642748866637352.0,4809241721052.545,1916184012780320.5,4.2613410312622784e+17,2.514191208444744e+24,5.09322158620113e+27,0.0025614545880387847
13.0,646134228525832.6,376411297920911.5,623731603787735.5,4666948799720.643,1859489124728753.8,4.1352590625653286e+17,2.439802846913544e+24,4.9425264412017127e+27,0.0024856678263554333
14.0,633292236885197.1,368930080353518.94,611334866874235.2,4574192658926.145,1822531565847991.5,4.0530703160652614e+17,2.3913114864785047e+24,4.844293163286156e+27,0.0024362648942119355
15.0,625415301753032.6,364341301047551.1,603731039115216.5,4517298516288.936,1799862785016072.0,4.0026579312194086e+17,2.3615681794194516e+24,4.784039490833023e+27,0.0024059624533816753
