,Mean NC18O (cm-2),Standard deviation NC18O (cm-2),Median NC18O (cm-2),Min NC18O (cm-2),Max NC18O (cm-2),Sum NC18O (cm-2 Npx),Sum NH2 (cm-2 Npx),M (kg),M (M_sun)
10.0,2248431046687119.2,985091360578537.9,2283507129295053.0,355387659583586.5,4580620973219448.0,2.2709153571539904e+18,1.3398400607208544e+25,2.7142336256683582e+28,0.013650272339049994
11.0,2114053875895949.2,926217511544826.0,2147033641274036.5,334147965220131.4,4306860793757925.5,2.1351944146549087e+18,1.259764704646396e+25,2.552017828114337e+28,0.012834465699058441
12.0,2024314595034972.2,886900588568276.8,2055894405349596.8,319963748610559.44,4124039251314322.5,2.044557740985322e+18,1.20628906718134e+25,2.4436874552460885e+28,0.012289656630945046
13.0,1964420405029631.2,860659512947993.0,1995065851108600.2,310496855667582.44,4002019684240344.0,1.9840646090799276e+18,1.1705981193571573e+25,2.3713851159174293e+28,0.011926037739316447
14.0,1925377324959968.0,843553806760707.0,1955413689295554.0,304325695173540.75,3922479085612828.0,1.9446310982095677e+18,1.1473323479436447e+25,2.3242535657056117e+28,0.011689006376183695
15.0,1901429341058818.0,833061622853597.1,1931092110899324.0,300540469932626.6,3873691004036763.0,1.9204436344694062e+18,1.1330617443369498e+25,2.2953443299666565e+28,0.011543617660481906
