,2D bin minimum (au),2D bin maximum (au),3D distance (au),u 3D distance (au),3D distance kink (au),u 3D distance kink (au),Mass wo kink (Msun),u Mass wo kink (Msun),Mass w kink (Msun),u Mass w kink (Msun),"t_ff streamline (yr, M_env = 0.39 Msun)","u t_ff streamline (yr, M_env = 0.39 Msun)","t_ff streamline kink (yr, M_env = 0.39 Msun)","u t_ff streamline kink (yr, M_env = 0.39 Msun)","deltat_ff streamline (yr, M_env = 0.39 Msun)",Mdot_in wo kink (Msun yr-1),u Mdot_in wo kink (Msun yr-1),Mdot_in w kink (Msun yr-1),u Mdot_in w kink (Msun yr-1)
0,0.0,360.0,275.0,10.0,275.0,10.0,0.0011226565144302277,1.180946339805262e-05,0.0011226565144302277,1.180946339805262e-05,203.3164813153635,13.858946364535683,203.3164813153635,13.858946364535683,459.0817050613508,2.4454394545742092e-06,2.5724099365873064e-08,2.4454394545742092e-06,2.5724099365873064e-08
1,180.0,540.0,405.0,10.0,405.0,10.0,0.0013374090954047769,1.369406552147954e-05,0.0013374090954047769,1.369406552147954e-05,395.42998759539563,15.581002657876866,395.42998759539563,15.581002657876866,581.3498244325542,2.300523779654014e-06,2.3555637149879733e-08,2.300523779654014e-06,2.3555637149879733e-08
2,360.0,720.0,595.0,10.0,595.0,10.0,0.0010199256711189905,1.3288580295284475e-05,0.0010199256711189905,1.3288580295284475e-05,716.0812583274278,18.00247847136302,716.0812583274278,18.00247847136302,661.7658042645669,1.5412184560555431e-06,2.0080488005953002e-08,1.5412184560555431e-06,2.0080488005953002e-08
3,540.0,900.0,785.0,10.0,785.0,10.0,0.0007957857809824539,1.3663496351113064e-05,0.0007957857809824539,1.3663496351113064e-05,1080.1847894413831,20.17013918051589,1080.1847894413831,20.17013918051589,734.6471008553926,1.0832218354307448e-06,1.8598720848695736e-08,1.0832218354307448e-06,1.8598720848695736e-08
4,720.0,1080.0,935.0000000000001,10.0,945.0,10.0,0.0005919941954617182,1.4224902966104032e-05,0.0006535336391468641,1.488244319959771e-05,1395.3396348679084,21.72634262259203,1417.1654898858835,21.825855017975073,776.8244532159866,7.620694650006356e-07,1.831160554641934e-08,8.412887061436994e-07,1.9158051909907923e-08
5,900.0,1260.0,1095.0000000000002,10.0,1105.0,10.0,0.00030850644527496187,1.2993320381353062e-05,0.0007047693898878976,1.709356227716874e-05,1756.173606737914,23.262539730321123,1779.5283620103532,23.354755272439206,835.8038946282338,3.691134334952887e-07,1.5545895951026284e-08,8.432233857936012e-07,2.045164228957316e-08
6,1080.0,1440.0,1325.0,10.0,1255.0,10.0,0.0001526430221183015,1.052792005007372e-05,0.0010023117261433406,1.91322779657137e-05,2315.886887055379,25.287707233744186,2140.6517978789566,24.691684534031538,914.2433577405313,1.669610403246951e-07,1.1515446036263814e-08,1.0963292406307028e-06,2.0926898515289598e-08
7,1260.0,1620.0,1555.0,10.0,1425.0,10.0,0.00016858971937730495,9.678161289902039e-06,0.00129332980387105,1.9859317282200432e-05,2920.0006651526464,27.13748335672608,2573.319212146812,26.11138055664651,966.6331858446578,1.7440919869721716e-07,1.0012237766744084e-08,1.3379737244805228e-06,2.0544832903545595e-08
8,1440.0,1800.0,1745.0,10.0,1615.0000000000002,10.0,0.0005084689507042683,1.3267876422367487e-05,0.0016155309231096465,2.0686670697845076e-05,3449.948725967925,28.557164160557477,3084.432981417319,27.595487244747346,986.2912637817333,5.155363018776497e-07,1.345229032192226e-08,1.6379856361245882e-06,2.0974200479609084e-08
9,1620.0,1980.0,1875.0,10.0,1795.0,10.0,0.0010495103751390477,1.7423874055055254e-05,0.0016453872129390664,2.071858937876445e-05,3827.6860312148706,29.47944715070207,3593.813190818268,28.916096124441083,1031.404787955131,1.01755429817212e-06,1.6893342224637063e-08,1.5952875458346674e-06,2.0087738219483393e-08
10,1800.0,2160.0,2034.9999999999995,10.0,2015.0,9.999999999999773,0.001283883935193387,1.950308123573723e-05,0.0013824936819845236,2.0096763411735312e-05,4308.663952213883,30.56681279064287,4247.59753634313,30.43357035817371,1103.6083453809097,1.1633510570729287e-06,1.76721038014675e-08,1.2527031784154883e-06,1.821005023734115e-08
11,1980.0,2340.0,2225.0,10.0,2225.0,10.0,0.0014157196931420606,2.101150327816703e-05,0.0014157196931420606,2.101150327816703e-05,4901.814929445079,31.79533181786428,4901.814929445079,31.79533181786428,1145.4401012300934,1.235961349372798e-06,1.8343607191334296e-08,1.235961349372798e-06,1.8343607191334296e-08
12,2160.0,2520.0,2405.0,10.0,2405.0,10.0,0.001699914363695039,2.222329461505381e-05,0.001699914363695039,2.222329461505381e-05,5484.7364298968905,32.96385391160038,5484.7364298968905,32.96385391160038,1185.3270841992726,1.4341310397402983e-06,1.8748660105127336e-08,1.4341310397402983e-06,1.8748660105127336e-08
13,2340.0,2700.0,2585.0,10.0,2585.0,10.0,0.001963430216256222,2.308639260665188e-05,0.001963430216256222,2.308639260665188e-05,6087.142013644351,33.9634910033501,6087.142013644351,33.9634910033501,1223.4690456415676,1.6048057964773686e-06,1.886961724850647e-08,1.6048057964773686e-06,1.886961724850647e-08
14,2520.0,2880.0,2765.0,10.0,2765.0,10.0,0.0021351376275106013,2.414522594868096e-05,0.0021351376275106013,2.414522594868096e-05,6708.205475538457,34.980761025429274,6708.205475538457,34.980761025429274,1260.0271964974243,1.6945170972862932e-06,1.9162464124424407e-08,1.6945170972862932e-06,1.9162464124424407e-08
15,2700.0,3060.0,2925.0,10.0,2925.0,10.0,0.0019309681599176346,2.401426568671578e-05,0.0019309681599176346,2.401426568671578e-05,7275.311007195791,35.849036792555125,7275.311007195791,35.849036792555125,1258.2502109820316,1.5346456078958763e-06,1.9085445388459955e-08,1.5346456078958763e-06,1.9085445388459955e-08
