,Mean NC18O (cm-2),Standard deviation NC18O (cm-2),Median NC18O (cm-2),Min NC18O (cm-2),Max NC18O (cm-2),M (M_sun),u M (M_sun),t_freefall (yr),u t_freefall (yr),dotM_in (M_sun/yr) (M_star=0.39Msun),u dotM_in (M_sun/yr),Sum NC18O (cm-2 Npx),u Sum NC18O (cm-2 Npx)
No kink,1995255480236742.8,884044035925679.9,1992351264532874.5,300540469932626.6,3873691004036763.0,0.009426737793575222,5.354273204085896e-05,20470.890063815656,725.6472224113757,4.6049476911792536e-07,1.653172887060713e-08,1.5682708074660797e+18,8907588759802715.0
Kink,1901429341058816.5,833061622853597.1,1931092110899324.0,300540469932626.6,3873691004036763.0,0.011543617660481911,5.886244460688786e-05,20470.890063815656,725.6472224113757,5.639040424962473e-07,2.019489049843391e-08,1.9204436344694047e+18,9792597986122716.0
