,2D bin minimum (au),2D bin maximum (au),3D distance (au),3D distance kink (au),Mass wo kink (Msun),u Mass wo kink (Msun),Mass w kink (Msun),u Mass w kink (Msun),"t_ff streamline (yr, M_env = 0.39 Msun)","t_ff streamline kink (yr, M_env = 0.39 Msun)","t_ff theory (yr, M_env = 0.39 Msun)",Mdot wo kink (Msun yr-1),u Mdot wo kink (Msun yr-1),Mdot w kink (Msun yr-1),u Mdot w kink (Msun yr-1)
0,0.0,360.0,275.0,275.0,0.0013275359264230413,8.18959050903226e-05,0.0013275359264230413,8.18959050903226e-05,203.3164813153635,203.3164813153635,214.4237087454643,6.529406361129695e-06,4.0280012992795284e-07,6.529406361129695e-06,4.0280012992795284e-07
1,360.0,720.0,595.0,595.0,0.0012060571985179006,9.215323964907722e-05,0.0012060571985179006,9.215323964907722e-05,716.0812583274278,716.0812583274278,704.6882248318288,1.6842462841925567e-06,1.2869103691433328e-07,1.6842462841925567e-06,1.2869103691433328e-07
2,720.0,1080.0,935.0000000000001,945.0,0.0007000302876327164,9.864642143039342e-05,0.0007728003836808213,0.00010320631130347151,1395.3396348679084,1417.1654898858835,1441.0748483889854,5.016916814657713e-07,7.069706827308167e-08,5.453141423469538e-07,7.282587110682617e-08
3,1080.0,1440.0,1325.0,1255.0,0.0001804996391818701,7.300869752994177e-05,0.0011852287933372817,0.00013267793528198195,2315.886887055379,2140.6517978789566,2551.020906254604,7.793974748541071e-08,3.1525156922828555e-08,5.536765925741187e-07,6.198015735835438e-08
4,1440.0,1800.0,1745.0,1615.0000000000002,0.0006012620876057756,9.200966306525955e-05,0.0019103575431207499,0.00014345729039516263,3449.948725967925,3084.432981417319,4095.3072542759933,1.7428145615036183e-07,2.6669863923686325e-08,6.193545311666739e-07,4.651010129234286e-08
5,1800.0,2160.0,2034.9999999999995,2015.0,0.0015181865756968725,0.00013524937044253596,0.0016347921267964908,0.0001393664194142422,4308.663952213883,4247.59753634313,5415.513857527999,3.5235669166466233e-07,3.1390094920965466e-08,3.8487453503043677e-07,3.281064607034933e-08
6,2160.0,2520.0,2405.0,2405.0,0.002010140555584849,0.00015411342287481423,0.002010140555584849,0.00015411342287481423,5484.7364298968905,5484.7364298968905,7500.431052036688,3.664972020583746e-07,2.8098601426816697e-08,3.664972020583746e-07,2.8098601426816697e-08
7,2520.0,2880.0,2765.0,2765.0,0.0025247899708812868,0.00016744157342522798,0.0025247899708812868,0.00016744157342522798,6708.205475538457,6708.205475538457,10183.878097284607,3.7637338034560215e-07,2.4960710287692505e-08,3.7637338034560215e-07,2.4960710287692505e-08
