,2D bin minimum (au),2D bin maximum (au),3D distance (au),Mass wo kink (Msun),u Mass wo kink (Msun),Mass w kink (Msun),u Mass w kink (Msun),"t_ff (yr, M_env = 0.39 Msun)",Mdot wo kink (Msun yr-1),u Mdot wo kink (Msun yr-1),Mdot w kink (Msun yr-1),u Mdot w kink (Msun yr-1)
0,0.0,360.0,285.0,0.0013275359264230413,8.18959050903226e-05,0.0013275359264230413,8.18959050903226e-05,467.7655427234596,2.8380370189171313e-06,1.7507896074067818e-07,2.8380370189171313e-06,1.7507896074067818e-07
1,360.0,720.0,630.0,0.0012060571985179006,9.215323964907722e-05,0.0012060571985179006,9.215323964907722e-05,1537.3464918170919,7.845057733812379e-07,5.994305131574807e-08,7.845057733812379e-07,5.994305131574807e-08
2,720.0,1080.0,985.0,0.0007000302876327164,9.864642143039342e-05,0.0007728003836808213,0.00010320631130347151,3005.489968186755,2.3291719321726843e-07,3.282207642499897e-08,2.5712958348254286e-07,3.433926328016893e-08
3,1080.0,1440.0,1340.0,0.0001804996391818701,7.300869752994177e-05,0.0011852287933372817,0.00013267793528198195,4768.899108181017,3.7849330649965745e-08,1.530933992809699e-08,2.485329981722677e-07,2.782150183348894e-08
4,1440.0,1800.0,1695.0,0.0006012620876057756,9.200966306525955e-05,0.0019103575431207499,0.00014345729039516263,6784.463194410659,8.862338410224142e-08,1.3561819178422424e-08,2.8157828974510275e-07,2.1144972901223646e-08
5,1800.0,2160.0,2055.0,0.0015181865756968725,0.00013524937044253596,0.0016347921267964908,0.0001393664194142422,9056.881308046914,1.6762796420308443e-07,1.4933327029732495e-08,1.8050276592937136e-07,1.5387903923441845e-08
6,2160.0,2520.0,2410.0,0.002010140555584849,0.00015411342287481423,0.002010140555584849,0.00015411342287481423,11502.347944793573,1.7475915049976556e-07,1.3398431660604755e-08,1.7475915049976556e-07,1.3398431660604755e-08
7,2520.0,2880.0,2765.0,0.0025247899708812868,0.00016744157342522798,0.0025247899708812868,0.00016744157342522798,14135.254767352813,1.7861651681812015e-07,1.184567071348129e-08,1.7861651681812015e-07,1.184567071348129e-08
